"filename", "language", "Markdown", "JavaScript", "JSON", "PostCSS", "JavaScript JSX", "HTML", "comment", "blank", "total"
"c:\Users\Youssef Khaled\Documents\GitHub\Bindly\frontend\src\pages\Dashboard.jsx", "JavaScript JSX", 0, 0, 0, 0, 276, 0, 9, 26, 311
"c:\Users\Youssef Khaled\Documents\GitHub\Bindly\frontend\src\pages\EditBazaar.jsx", "JavaScript JSX", 0, 0, 0, 0, 105, 0, 1, 12, 118
"c:\Users\Youssef Khaled\Documents\GitHub\Bindly\frontend\src\pages\EditConfrences.jsx", "JavaScript JSX", 0, 0, 0, 0, 162, 0, 0, 19, 181
"c:\Users\Youssef Khaled\Documents\GitHub\Bindly\frontend\src\pages\EditTrip.jsx", "JavaScript JSX", 0, 0, 0, 0, 87, 0, 2, 11, 100
"c:\Users\Youssef Khaled\Documents\GitHub\Bindly\frontend\src\pages\Events.jsx", "JavaScript JSX", 0, 0, 0, 0, 782, 0, 29, 45, 856
"c:\Users\Youssef Khaled\Documents\GitHub\Bindly\frontend\src\pages\EventsList.jsx", "JavaScript JSX", 0, 0, 0, 0, 1135, 0, 41, 64, 1240
"c:\Users\Youssef Khaled\Documents\GitHub\Bindly\frontend\src\pages\EventsOfficeDashboard.jsx", "JavaScript JSX", 0, 0, 0, 0, 904, 0, 20, 35, 959
"c:\Users\Youssef Khaled\Documents\GitHub\Bindly\frontend\src\pages\EventsOfficeEventsView.jsx", "JavaScript JSX", 0, 0, 0, 0, 2260, 0, 73, 117, 2450
"c:\Users\Youssef Khaled\Documents\GitHub\Bindly\frontend\src\pages\GymManage.jsx", "JavaScript JSX", 0, 0, 0, 0, 152, 0, 1, 21, 174
"c:\Users\Youssef Khaled\Documents\GitHub\Bindly\frontend\src\pages\GymSchedule.jsx", "JavaScript JSX", 0, 0, 0, 0, 976, 0, 29, 41, 1046
"c:\Users\Youssef Khaled\Documents\GitHub\Bindly\frontend\src\pages\Login.jsx", "JavaScript JSX", 0, 0, 0, 0, 444, 0, 11, 25, 480
"c:\Users\Youssef Khaled\Documents\GitHub\Bindly\frontend\src\pages\PendingVerification.jsx", "JavaScript JSX", 0, 0, 0, 0, 141, 0, 12, 13, 166
"c:\Users\Youssef Khaled\Documents\GitHub\Bindly\frontend\src\pages\PlatformBoothReservation.jsx", "JavaScript JSX", 0, 0, 0, 0, 463, 0, 21, 43, 527
"c:\Users\Youssef Khaled\Documents\GitHub\Bindly\frontend\src\pages\PlatformBooths.jsx", "JavaScript JSX", 0, 0, 0, 0, 826, 0, 21, 47, 894
"c:\Users\Youssef Khaled\Documents\GitHub\Bindly\frontend\src\pages\ProfessorAllEvents.jsx", "JavaScript JSX", 0, 0, 0, 0, 387, 0, 12, 27, 426
"c:\Users\Youssef Khaled\Documents\GitHub\Bindly\frontend\src\pages\ProfessorEvents.jsx", "JavaScript JSX", 0, 0, 0, 0, 718, 0, 14, 51, 783
"c:\Users\Youssef Khaled\Documents\GitHub\Bindly\frontend\src\pages\ProfessorGymSchedule.jsx", "JavaScript JSX", 0, 0, 0, 0, 129, 0, 3, 17, 149
"c:\Users\Youssef Khaled\Documents\GitHub\Bindly\frontend\src\pages\ProfessorProfile.jsx", "JavaScript JSX", 0, 0, 0, 0, 271, 0, 3, 32, 306
